"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 01 01:04:00 GMT 2024","Mon Apr 01 01:04:02 GMT 2024","2796","tests.main","test_main_page","TestMainPage","","","TC 012 - Проверка функциональности ссылки 'Местоположение'",""
"passed","Mon Apr 01 00:57:05 GMT 2024","Mon Apr 01 00:57:25 GMT 2024","20291","tests.catalog","test_catalog_page","TestCatalogPage","","","010_positive_display_item_status_in_stock_plaster_mixtures_smoke",""
"passed","Mon Apr 01 01:05:16 GMT 2024","Mon Apr 01 01:05:16 GMT 2024","46","tests.main","test_main_page","TestMainPage","","","TC 015 - Проверка функциональности ссылки 'telephone number'",""
"passed","Mon Apr 01 01:11:24 GMT 2024","Mon Apr 01 01:11:33 GMT 2024","9277","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_7500_9999rub_smoke",""
"passed","Mon Apr 01 01:22:06 GMT 2024","Mon Apr 01 01:22:12 GMT 2024","6365","tests.test_ym","test_ym","TestYaMetric","","","ym_is_present_smoke",""
"skipped","Mon Apr 01 00:58:36 GMT 2024","Mon Apr 01 00:58:36 GMT 2024","613","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 007-products/shtukaturka-gipsovaya-aksolit-m50-30-kg-mashinnogo-naneseniya-66-2000-1300-2490-2980-https://sandboxtest.stroyrem-nn.ru/]",""
"skipped","Mon Apr 01 01:01:40 GMT 2024","Mon Apr 01 01:01:40 GMT 2024","28","tests.main","test_main_page","TestMainPage","","","TC 006 - Проверка функциональности ссылки 'Обратный звонок'",""
"passed","Mon Apr 01 01:05:26 GMT 2024","Mon Apr 01 01:05:28 GMT 2024","1619","tests.main","test_main_page","TestMainPage","","","TC 016 - Проверка функциональности ссылки 'Прайс'",""
"passed","Mon Apr 01 01:23:09 GMT 2024","Mon Apr 01 01:23:26 GMT 2024","16761","tests.test_ym","test_ym","TestYaMetric","","","ym_is_present_smoke",""
"skipped","Mon Apr 01 00:55:31 GMT 2024","Mon Apr 01 00:55:47 GMT 2024","16007","tests.catalog","test_catalog_page","TestCatalogPage","","","004_positive_alfabet_plaster_mixtures_smoke",""
"passed","Mon Apr 01 00:55:05 GMT 2024","Mon Apr 01 00:55:05 GMT 2024","150","tests.catalog","test_catalog_page","TestCatalogPage","","","003_positive_pic_stroymateriali_smoke(catalog)",""
"skipped","Mon Apr 01 00:58:34 GMT 2024","Mon Apr 01 00:58:35 GMT 2024","427","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 006-products/shtukaturka-gipsovaya-aksolit-m50-30-kg-mashinnogo-naneseniya-25-1700-990-1990-2480-https://sandboxtest.stroyrem-nn.ru/]",""
"skipped","Mon Apr 01 00:59:01 GMT 2024","Mon Apr 01 00:59:02 GMT 2024","429","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","TD 025 Доставка товара весом до 10000кг. в синей зоне",""
"skipped","Mon Apr 01 00:58:56 GMT 2024","Mon Apr 01 00:58:56 GMT 2024","429","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","TD 021 Доставка товара весом до 4500кг. в синей зоне",""
"skipped","Mon Apr 01 00:58:26 GMT 2024","Mon Apr 01 00:58:27 GMT 2024","610","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 001-products/uroven---uglomer-elektronnyj-kapro-992-1-30-0-1590-2190-https://sandboxtest.stroyrem-nn.ru/]",""
"skipped","Mon Apr 01 00:57:26 GMT 2024","Mon Apr 01 00:57:42 GMT 2024","16008","tests.catalog","test_catalog_page","TestCatalogPage","","","010_positive_display_item_status_in_stock_plaster_mixtures_smoke",""
"passed","Mon Apr 01 01:13:44 GMT 2024","Mon Apr 01 01:13:54 GMT 2024","9842","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_there_is_no_discount_for_unauthorized_customer_red_prices_smoke",""
"skipped","Mon Apr 01 00:58:43 GMT 2024","Mon Apr 01 00:58:44 GMT 2024","428","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 012-products/shtukaturka-gipsovaya-aksolit-m50-30-kg-mashinnogo-naneseniya-333-10000-4450-11990-12500-https://sandboxtest.stroyrem-nn.ru/]",""
"passed","Mon Apr 01 00:56:15 GMT 2024","Mon Apr 01 00:56:21 GMT 2024","6307","tests.catalog","test_catalog_page","TestCatalogPage","","","007_positive_catalog_first_link_smoke",""
"passed","Mon Apr 01 01:03:25 GMT 2024","Mon Apr 01 01:03:26 GMT 2024","1277","tests.main","test_main_page","TestMainPage","","","TC 011 - Проверка функциональности ссылки 'Подъем на этаж'",""
"skipped","Mon Apr 01 00:58:46 GMT 2024","Mon Apr 01 00:58:47 GMT 2024","423","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 014-products/shtukaturka-gipsovaya-aksolit-m50-30-kg-mashinnogo-naneseniya-666-20000-5400-15600-17490-https://sandboxtest.stroyrem-nn.ru/]",""
"failed","Mon Apr 01 01:09:00 GMT 2024","Mon Apr 01 01:09:09 GMT 2024","9349","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_3500_4999rub_smoke",""
"passed","Mon Apr 01 00:59:16 GMT 2024","Mon Apr 01 00:59:24 GMT 2024","8689","tests.main","test_main_page","TestMainPage","","","TC 002 - проверка title на главной странице",""
"skipped","Mon Apr 01 01:15:31 GMT 2024","Mon Apr 01 01:15:49 GMT 2024","17315","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_discount_for_unauthorized_customer_purchase_amount_15000_and_above_smoke",""
"passed","Mon Apr 01 01:06:28 GMT 2024","Mon Apr 01 01:06:35 GMT 2024","6852","tests.main","test_main_page","TestMainPage","","","TC 018 - Проверка функциональности ссылки 'Акции'",""
"skipped","Mon Apr 01 01:19:59 GMT 2024","Mon Apr 01 01:20:19 GMT 2024","19649","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Авторизация с помощью аккаунта mail.ru",""
"passed","Mon Apr 01 01:12:41 GMT 2024","Mon Apr 01 01:12:53 GMT 2024","11907","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_7500_9999rub_smoke",""
"skipped","Mon Apr 01 00:56:48 GMT 2024","Mon Apr 01 00:57:04 GMT 2024","15863","tests.catalog","test_catalog_page","TestCatalogPage","","","008_positive_cost_plaster_mixtures_smoke",""
